Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
10;1000010;2НДФЛ;Покупка автомобиля;1;0.39;мужской;0;0;среднее-специальное;рабочий;< 50;0;161;55;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000030;Поступление зарплаты на счет;Покупка автомобиля;1;0.39;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;6;29;Другое;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
10;1000050;2НДФЛ;Ремонт;1;0.31;женский;0;0;незаконченное высшее;специалист;< 50;3;18;24;Другое;Иная форма;повторный брак;6;5;5;5;5;0;0;1;0;0;1;1;0;3;1;1;0;3;3;0;0;0;0;0;0;0
10;1000070;2НДФЛ;Покупка земли;1;;женский;1;0;второе высшее;другое;;1;74;39;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000090;2НДФЛ;Ремонт;0;0.47;женский;0;0;высшее;торговый представитель;>250;0;10;38;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000110;2НДФЛ;Ремонт;1;0.59;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000130;2НДФЛ;Ремонт;0;0.52;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000150;Свободная форма с печатью работодателя;Ремонт;0;0.47;мужской;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;29;32;Торговля;ООО;женат / замужем;3;2;1;1;1;0.0647482014;0;0;0;0;0.3;3;7;130;10;1;1;9;86;1;1;0;0;0;0;0
10;1000170;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;1;0;среднее-специальное;рабочий;>250;0;15;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000190;2НДФЛ;Покупка автомобиля;1;0.43;женский;2;0;среднее;вспомогательный персонал;>250;3;16;40;Торговля;ООО;женат / замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000210;2НДФЛ;Ремонт;0;0.38;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000230;2НДФЛ;Ремонт;1;0.49;женский;0;0;высшее;специалист;>250;0;29;25;Другое;ОАО;разведен / разведена;0;0;0;0;0;0.137254902;0;2;0;0;0.4285714286;3;4;44;7;2;0;3;38;1;1;0;0;0;0;0
10;1000250;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000270;Форма банка (без печати работодателя);Ремонт;1;0.45;мужской;0;0;незаконченное высшее;вспомогательный персонал;>250;0;109;34;Информационные технологии;ООО;женат / замужем;;;;;;0.0476190476;0;0;0;0;0;0;2;20;2;0;1;19;101;1;0;0;0;0;0;0
10;1000290;Свободная форма с печатью работодателя;Ремонт;1;0.25;мужской;0;0;высшее;менеджер среднего звена;>250;0;8;31;Торговля;ООО;женат / замужем;7;6;6;5;4;0.186440678;0;0;0;0;0.6666666667;4;2;48;6;1;0;13;68;1;1;0;0;0;0;0
10;1000310;Форма банка (без печати работодателя);Ремонт;1;0.17;мужской;0;0;второе высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000330;2НДФЛ;Покупка недвижимости/ строительство;0;0.36;мужской;2;0;второе высшее;менеджер высшего звена;>250;0;10;30;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000350;Форма банка (без печати работодателя);Ремонт;1;0.23;мужской;0;0;среднее-специальное;менеджер среднего звена;>250;0;245;46;Другое;ЗАО;холост / не замужем;2;2;0;0;0;0.3807829181;0;0;0;0;0.0666666667;1;14;174;15;0;2;26;73;1;1;1;1;0;0;0
10;1000370;Поступление зарплаты на счет;Другое;1;0.38;мужской;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000390;2НДФЛ;Ремонт;1;0.46;женский;0;0;высшее;специалист;>250;0;47;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000410;Форма банка (без печати работодателя);Ремонт;1;0.38;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000430;2НДФЛ;Покупка недвижимости/ строительство;1;0.48;мужской;1;0;среднее-специальное;специалист;>250;0;158;40;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000450;Поступление зарплаты на счет;Ремонт;1;0.22;женский;1;0;высшее;менеджер среднего звена;>250;0;115;43;Торговля;ООО;разведен / разведена;4;1;1;0;0;0.0576923077;0;1;0;0;0.4285714286;3;4;49;7;3;0;4;58;1;1;1;0;1;0;0
10;1000470;Поступление зарплаты на счет;Покупка мебели;1;0.36;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;6;25;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;18;2;0;0;9;25;0;0;0;0;0;0;0
10;1000490;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;женский;1;0;высшее;торговый представитель;>250;1;27;38;Другое;ООО;холост / не замужем;1;1;1;0;0;0;0;0;0;0;0.3333333333;1;2;44;3;0;0;28;93;0;0;0;0;0;0;0
10;1000510;2НДФЛ;Покупка недвижимости/ строительство;1;0.29;женский;1;0;незаконченное высшее;вспомогательный персонал;>250;0;9;44;Торговля;ООО;разведен / разведена;2;2;0;0;0;0.1666666667;0;0;0;0;0;0;6;35;6;0;0;32;80;1;1;0;0;1;0;0
10;1000530;Поступление зарплаты на счет;Покупка автомобиля;1;0.5;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000550;Форма банка (без печати работодателя);Другое;0;0.3;мужской;2;0;высшее;менеджер высшего звена;< 50;0;29;43;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000570;Поступление зарплаты на счет;Ремонт;0;0.32;женский;0;0;среднее-специальное;специалист;>250;0;17;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000590;2НДФЛ;Покупка недвижимости/ строительство;1;0.47;мужской;1;0;среднее-специальное;рабочий;>250;1;34;53;Другое;ОАО;холост / не замужем;1;1;1;1;1;0.0476190476;0;0;0;0;0.3333333333;1;2;40;3;1;0;15;75;1;0;0;0;0;0;0
10;1000610;2НДФЛ;Ремонт;1;0.27;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;14;26;Торговля;Государственное предприятие;женат / замужем;0;0;0;0;0;0.04;0;1;0;0;1;3;0;24;3;1;0;3;24;1;0;0;0;0;0;0
10;1000630;2НДФЛ;Ремонт;0;0.21;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;83;33;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;0;1;1;1;0;1;3;0;99;3;1;0;2;55;0;0;0;0;0;0;0
10;1000650;Поступление зарплаты на счет;Ремонт;1;0.58;женский;0;0;высшее;специалист;>250;0;99;31;Информационные технологии;Государственное предприятие;женат / замужем;2;0;0;0;0;0;0;1;1;0;1;1;0;3;1;1;0;2;2;0;0;0;0;0;0;0
10;1000670;Форма банка (без печати работодателя);Обучение;1;0.21;мужской;0;0;высшее;специалист;>250;0;12;25;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;10;1;0;0;9;9;0;0;0;0;0;0;0
10;1000690;Форма банка (без печати работодателя);Ремонт;0;0.14;женский;1;0;высшее;менеджер высшего звена;< 50;0;32;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000710;Поступление зарплаты на счет;Покупка автомобиля;0;0.28;мужской;0;0;второе высшее;менеджер высшего звена;>250;1;33;38;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000730;Поступление зарплаты на счет;Ремонт;0;0.18;мужской;0;0;высшее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000750;2НДФЛ;Ремонт;1;0.3;женский;0;0;высшее;менеджер по продажам;< 50;3;13;27;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
10;1000770;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;48;54;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0.0583333333;0;0;0;0;0.25;2;6;113;8;1;2;10;90;1;0;0;0;0;0;0
10;1000790;Поступление зарплаты на счет;Ремонт;0;0.4;мужской;0;0;второе высшее;специалист;>250;0;8;25;Другое;ЗАО;холост / не замужем;1;1;1;1;1;0;0;1;0;0;1;1;0;5;1;1;0;4;4;0;0;0;0;0;0;0
10;1000810;2НДФЛ;Ремонт;1;0.4;мужской;0;0;высшее;менеджер по продажам;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000830;Поступление зарплаты на счет;Ремонт;0;0.11;женский;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000850;2НДФЛ;Покупка автомобиля;0;;мужской;0;0;высшее;другое;;0;6;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1000870;Форма банка (без печати работодателя);Ремонт;1;0.22;женский;2;0;высшее;менеджер высшего звена;< 50;0;85;41;Туризм;;;;;;;;;;;;;;;;;;;;;;;;;;;;
