price,used,milage,transmission,colour,engine_capacity,horsepower,fuel_type,tax,state,year
6940000,1,82040,автоматическая,синий,3.0,249,Дизель,18675,Не требует ремонта,2019
15490000,0,15,автоматическая,чёрный,3.0,381,Бензин,57150,Не требует ремонта,2023
7700000,1,44140,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
13990000,0,18,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
8990000,1,62000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2021
8850000,1,73160,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2021
4499000,1,154500,автоматическая,серый,2.0,231,Дизель,17325,Не требует ремонта,2018
6750000,1,134500,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
7890000,1,68477,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
3790000,1,168950,автоматическая,серебристый,3.0,249,Дизель,18675,Не требует ремонта,2015
7816000,1,78132,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2020
5890000,1,76000,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2019
16500000,0,23,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
1760000,1,240000,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2007
6770000,1,70000,автоматическая,серый,3.0,265,Дизель,39750,Не требует ремонта,2019
14950000,0,15,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
15500000,0,5,автоматическая,серый,3.0,298,Дизель,44700,Не требует ремонта,2023
4090000,1,160000,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2017
16499999,0,55,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2024
15500000,0,15,автоматическая,пурпурный,3.0,298,Дизель,44700,Не требует ремонта,2023
8990000,1,62000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2021
13990000,0,18,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
4200000,1,130723,автоматическая,чёрный,3.0,381,Дизель,57150,Не требует ремонта,2016
6777000,1,127358,автоматическая,белый,3.0,400,Дизель,60000,Не требует ремонта,2019
3599000,1,164000,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2016
6250000,1,96000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
3999000,1,106578,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2018
15999999,0,55,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2024
6250000,1,102782,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2020
15999999,0,55,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2024
9787000,1,10936,автоматическая,серый,3.0,340,Бензин,51000,Не требует ремонта,2022
8730000,1,56099,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2021
1805000,1,273992,автоматическая,чёрный,3.0,272,Бензин,40800,Не требует ремонта,2007
3999000,1,133000,автоматическая,чёрный,3.0,313,Дизель,46950,Не требует ремонта,2017
4195000,1,135157,автоматическая,белый,3.0,313,Дизель,46950,Не требует ремонта,2016
13498000,0,84,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
15999999,0,55,автоматическая,серый,3.0,352,Дизель,52800,Не требует ремонта,2024
3655000,1,183779,автоматическая,чёрный,3.0,381,Дизель,57150,Не требует ремонта,2013
2295000,1,165879,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2013
14000000,0,60,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2022
6799000,1,122100,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2019
1977000,1,184848,автоматическая,серый,3.0,235,Дизель,17625,Не требует ремонта,2007
1678000,1,184311,автоматическая,белый,3.0,272,Бензин,40800,Не требует ремонта,2010
8730000,1,56099,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2021
3994000,1,131106,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2017
7200000,1,85668,автоматическая,синий,4.4,462,Бензин,69300,Не требует ремонта,2018
3959000,1,114000,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
8960000,1,77799,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
17400000,0,30,автоматическая,синий,3.0,298,Дизель,44700,Не требует ремонта,2023
13498000,0,84,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
15999999,0,55,автоматическая,серый,3.0,352,Дизель,52800,Не требует ремонта,2024
15500000,0,30,автоматическая,белый,3.0,381,Бензин,57150,Не требует ремонта,2023
7750000,1,67635,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2019
